"","IGKV1D-43","IGKV2-29","IGKV5-2","SLAMF7","IGKC","TXNDC5","IL12RB2","BLOC1S5-TXNDC5","IGKV6-21","IGJ","IGKV1-8","IGKV7-3","IGKV3-20","FAM46C","IGKV3-11","IGKV1D-42","IGKV1D-17","F13A1","IGKV1-12","FCGR2A","IGKV3D-20","IGKV1D-16","IGKV3-7","IL5RA","IGKV1D-8","MZB1","CXCR6","AC096579.13","IGKJ2","CENPH","IGKV1-39","LAX1","IGKV2-4","IGKV3D-11","IGKV3-15","IGKV1-16","IGKV1-5","IGKJ1","APOD","IGKV2-10","IGKJ5","HIST1H4L","BMP6","CD200R1","GGH","KCNN3","IGKV1-33","FCER1G","XCR1","CXCL9","NCF2","CD28","IGKV1-13","TMEM156","PDPN","FCRL5","IGKV2-28","KCNA3","IGKJ3","IGKV2-30","RP11-325F22.2","CCDC110","SLC39A8","ANKRD36BP2","MOXD1","KIAA1324L","MARCH1","IRF4","TIFA","IGKV1-6","RRAGD","EAF2","RP11-245J9.4","AMPD1","HIST1H2AB","CLCA1","GATA2","RETNLB","CCR2","KYNU","CD180","NCF1","IGKJ4","RGS1","IGKV4-1","CPA3","MANEA","HGF","REG1A","IGKV1-17","IGKV1-27","ITLN1","HIST1H2BL","PRSS3P2","IGKV1-9","MMRN1","TENM2","IGKV2-24","PLA2G2A","FNDC1","REG3A","DEFA6","DEFA5","RP11-65I12.1","RP11-278L15.6","OXCT2","IGSF9","RP11-334A14.8","CSMD2","RP3-395M20.7","RP11-203F10.6","CTD-3080P12.3","MTRNR2L6","RP11-54O7.14","EPHB6","KRT18P32"
"GSM5087200",1.2290010635036,1.2290010635036,1.2290010635036,6.9775314001207,12.5512755750253,10.4296170282217,2.88540223831019,10.2996297052025,2.61754725105383,11.1257031925383,11.5265683665765,3.11663253035562,8.75666488897497,8.33220575334613,11.6539059134181,0,0,4.6982866057177,4.6982866057177,4.56366191453181,4.77766369994503,2.88540223831019,5.37575408381285,1.2290010635036,1.2290010635036,7.6950057300179,3.65742954131883,6.84327645473743,6.84327645473743,3.49018589188454,2.31841929149049,4.05169386730676,3.92917855519739,2.31841929149049,5.1219313232662,4.6982866057177,7.78729873645268,5.73144239186959,5.60735242106926,3.49018589188454,6.9775314001207,3.11663253035562,3.92917855519739,3.29474315606185,2.61754725105383,4.56366191453181,0,4.16798167218899,3.11663253035562,5.97973248956075,4.92644737712599,4.56366191453181,3.29474315606185,2.88540223831019,3.92917855519739,7.34074761361502,2.88540223831019,3.79978005885618,3.79978005885618,4.05169386730676,3.29474315606185,2.88540223831019,5.1219313232662,8.4356879568901,4.86158591958954,4.25767727293139,5.64734408860649,8.17047373149657,4.62668923164488,5.1219313232662,3.65742954131883,4.62668923164488,2.88540223831019,5.1219313232662,4.05169386730676,11.2649350036068,5.1800243697167,4.05169386730676,4.77766369994503,4.36215480441527,3.79978005885618,5.37575408381285,6.22026620151303,3.49018589188454,7.83786142295043,4.86158591958954,4.46619193598272,4.05169386730676,11.9149988533712,5.78180011029345,4.86158591958954,7.5390145347169,4.86158591958954,8.81604914857675,4.77766369994503,3.92917855519739,3.49018589188454,4.46619193598272,8.3744157537987,6.04975872781336,11.3115512231568,8.88283802996414,10.9376975048175,4.98415204799073,6.44580486027265,3.49018589188454,7.66094504369262,3.11663253035562,3.49018589188454,4.05169386730676,2.31841929149049,4.92644737712599,0,2.61754725105383,6.3487838927813,2.31841929149049
"GSM5087201",1.38570286483311,2.07200219070451,0.892559284077939,7.08811085929884,12.7991410467848,9.99477461803547,1.94799794203944,9.89891836628112,3.32675932523737,12.6155838034346,11.5971460229796,3.3882539676665,7.84169151752673,8.58010636199409,11.9537446258934,1.81103481226355,1.38570286483311,3.93925313728515,4.37695870615143,4.62384915557384,3.93925313728515,4.37695870615143,6.25396230962087,1.68957840664932,3.02888244643547,6.33551220658687,5.06853563930124,7.4255898552629,7.4190383016493,3.16507824938964,3.02888244643547,4.48729834167579,5.92628797063454,2.32303053728797,5.61975688208623,4.83637632865547,8.71242656672884,6.75573168647293,3.72305285205121,2.77340504343845,6.21772463688875,4.17081533920545,3.96788994416378,4.32162894923225,2.32303053728797,4.60946689154338,1.94799794203944,4.78285595764104,3.8678487247154,2.40788954555395,4.32162894923225,3.54275487672604,6.00629841222032,2.70725111070284,2.70725111070284,5.70211682909968,5.2557090365538,4.59455721104314,4.76487954309068,4.05483201611467,1.94799794203944,2.77340504343845,4.32162894923225,7.62041534001567,4.11961862087114,3.54275487672604,5.0905167458342,7.42762876908591,4.5628405177969,7.29026065755676,4.29560698402245,4.75434547080702,2.32303053728797,5.38637477906288,4.17081533920545,12.0869071740377,4.41665295356804,3.23443272111555,4.88821278881331,3.08061630636004,3.29474315606185,3.02888244643547,6.18472472939859,4.83637632865547,8.15345816028847,5.14190084378669,5.42030925807865,3.72305285205121,11.3339575214943,4.2770915903642,5.1962113151593,7.52683249077658,4.98390619980749,9.08745526617255,5.90620258983864,4.05483201611467,3.99192001175903,6.20870444584404,9.49206778082948,5.35604938253746,11.9149988533712,10.418220855846,12.4228719831333,6.42144876712216,6.21176809428499,1.81103481226355,7.34467528475019,2.77340504343845,2.47544668526104,2.70725111070284,3.42596117935526,6.21176809428499,1.57943712076317,1.38570286483311,4.11961862087114,3.46799715133168
"GSM5087202",1.16475527499235,0.607889311771879,3.23844948049063,6.97109813073153,12.7991410467848,10.1156606288564,2.79546585300777,10.0146258357312,4.11683315324789,12.707477320034,11.7188785737001,3.53294501751784,8.7146976934177,8.50867903306667,12.00307121399,0.922398323049729,2.19638469576245,4.24267585375677,5.71615521322438,3.88873249654206,3.98503201198433,2.30994157408873,7.02636009533212,3.03332089350227,3.64729795329311,6.54818716604878,4.0893372950334,7.89656387809783,7.88426112558667,3.62006671157474,4.28818024602407,4.58769940738162,5.38523369751485,3.08713570773445,6.04951120999701,5.04445009124592,9.33296439412159,6.96058579884369,3.94113964836594,3.46032989222605,6.75149583913864,4.49369279830641,3.86307968896725,3.41067477832274,3.91308783630547,4.88702481502994,3.64729795329311,4.28818024602407,2.97694501919356,3.13907645543802,3.88873249654206,3.72387290318695,6.0279067320074,3.30210232712586,2.46923156498852,6.11446312549545,5.11834997829003,4.33551734473345,4.70895452081343,4.11683315324789,2.72512270282125,1.16475527499235,4.74917018442268,7.87989795167687,4.52358256862764,4.31121859711389,5.00703070767319,7.05679064676842,4.38434984312853,6.72798086898106,3.30210232712586,4.88702481502994,2.72512270282125,5.97544361361906,4.49369279830641,12.121775570499,4.56863751013115,4.22213301410269,5.11834997829003,2.91385332458045,3.53294501751784,2.72512270282125,6.74239815616472,4.31121859711389,8.7146976934177,5.49849901200107,5.95627552376192,3.98503201198433,11.8303380102787,5.15952007557356,4.70895452081343,7.82375009350368,4.76289866759227,9.38282733819281,6.55520888167612,5.3442222460041,4.06563201458886,4.22213301410269,9.56398824243121,5.64218104317387,12.2616585992759,11.1927441749015,13.072935589639,5.6921291272745,6.20591479769459,2.39154655096804,7.4897529568267,3.03332089350227,1.41952060010449,3.20120862361182,2.19638469576245,4.94647907126806,0,0.922398323049729,5.09928178261074,4.04795983486458
"GSM5087203",0,1.66677931874607,2.04817818795415,7.31779966755162,11.9149988533712,9.40699863783066,2.87611178651066,9.28660552016601,3.06960958631034,10.8843398146852,11.2907444881882,3.38232692161969,7.51774354293508,8.21568571820077,11.3339575214943,1.06278174437564,1.06278174437564,4.04753577377216,4.38177877743466,2.40788954555395,3.51724867620245,1.06278174437564,5.53256035541263,1.66677931874607,1.66677931874607,6.59998134408345,4.13935008006113,6.72552310281943,6.72552310281943,2.04817818795415,1.06278174437564,4.60102199411054,4.46277092977477,2.04817818795415,5.66073001172392,4.90933841781177,7.77449910047787,5.58980934606637,2.65195933908527,2.87611178651066,6.10252951800923,2.65195933908527,4.04753577377216,3.38232692161969,2.65195933908527,4.22437527710875,1.06278174437564,3.06960958631034,2.40788954555395,1.66677931874607,2.87611178651066,3.06960958631034,4.64707343714863,1.66677931874607,2.04817818795415,5.81989691620693,4.46277092977477,3.64860453934031,3.51724867620245,4.75460202155678,3.22034875414175,2.40788954555395,3.38232692161969,7.62094226078878,3.51724867620245,2.87611178651066,2.65195933908527,7.3680216607197,4.38177877743466,5.11726617536436,2.87611178651066,3.96575252852142,0,5.46407371248715,0,10.9557069751256,3.64860453934031,3.22034875414175,4.69425559338991,2.40788954555395,2.04817818795415,4.04753577377216,5.66073001172392,4.29650320014651,7.90339937688905,4.38177877743466,4.80298494339171,3.06960958631034,9.60634683349029,4.75460202155678,4.29650320014651,5.53256035541263,3.51724867620245,8.12172900654249,5.32042452539126,4.75460202155678,3.22034875414175,5.53256035541263,8.74195390529249,5.06816121085869,10.418220855846,8.29300787800199,10.6951615926184,0,7.35727595364168,3.64860453934031,9.35852633999908,4.86061980611184,2.40788954555395,4.60102199411054,3.76867441426767,6.78035934344462,3.22034875414175,3.06960958631034,5.43583493886685,5.72920028095686
"GSM5087204",1.59527363225014,2.22747490678874,0,7.13681748409336,12.4835116092476,10.2246251264203,2.22747490678874,10.0798023311001,3.90203673951286,11.5616603092373,11.7915617951618,3.81085836391094,8.54328279495699,8.39427754523536,12.0436241943549,1.59527363225014,2.03388551838205,1.81103481226355,5.28857645168563,4.01359846017988,4.27712307679111,3.31505644163483,5.947545142866,2.84602842825341,3.24850246310412,6.997492247999,3.8602725790406,6.997492247999,6.99268873309055,2.03388551838205,2.49249062266697,4.46542962642287,4.56210829326988,2.49249062266697,5.87954918443262,5.17416401400382,8.27564783672789,5.98604208959521,3.11730723618455,3.68584600387953,6.06179066941041,2.97264946842863,3.90203673951286,3.04443795018592,1.31612418870415,4.58840283083196,2.22747490678874,4.1433840844646,3.46297537081748,1.59527363225014,3.51326702799937,3.19045264982574,5.01230883745826,2.49249062266697,3.31505644163483,5.85163767367182,4.92958597629315,3.7549061837643,4.24504974968352,3.7549061837643,1.59527363225014,1.81103481226355,4.69624931214504,7.76547356206887,4.01359846017988,4.05390438405022,4.05390438405022,7.24531688065976,3.46297537081748,5.70211682909968,3.19045264982574,4.24504974968352,2.03388551838205,5.85163767367182,3.11730723618455,10.6624681723157,4.17401866699121,2.39154655096804,5.01230883745826,2.03388551838205,3.04443795018592,2.49249062266697,5.79050627744876,6.05423644013605,7.857075729856,4.91047621184896,4.50427564564317,3.68584600387953,10.8321652030907,5.89630747468214,6.22149731280998,7.26933916382095,3.64348972280541,6.55534364931532,5.91140389072413,3.11730723618455,2.97264946842863,4.17401866699121,7.26689310740282,4.95506064198548,10.2844006454918,7.93500839603271,9.9068909578484,5.63187006322709,8.19528512243151,3.39676305445695,8.74116460164123,3.24850246310412,3.04443795018592,2.73748799041514,3.8602725790406,8.33523745734235,0.973858421388617,2.39154655096804,3.81085836391094,3.90203673951286
"GSM5087205",1.24730590996496,0.507529710270346,1.84312639372443,6.78475554444629,12.7991144718114,9.73214852733521,2.3967130048365,9.68523365274892,3.11429603689191,12.5512485617753,11.3339234175394,3.9757270417946,8.26501982104392,8.41328416045718,11.8303014740174,2.53550704728052,2.53550704728052,3.99145444733281,5.00605952869116,4.28474478265335,4.37657604132162,2.91916021124178,7.36842376513756,1.24730590996496,3.20367130479214,6.40908747807299,4.03459037832434,7.33007887458829,7.32442882433074,2.97694501919356,3.57013979344735,4.25387549108373,5.92512149461714,1.84312639372443,5.84857854589435,5.62967469026823,9.00496092467218,6.94747995643833,2.46236299704167,2.97694501919356,6.45109873903141,4.53473779383284,3.51451838692766,4.20356796220166,3.40668329750866,4.31734403371271,4.16039144166486,4.05809395667364,3.31738925391662,3.75240636469894,3.57013979344735,3.93477764905661,5.21764511517873,3.16717786237522,2.21269673753178,5.66071116882823,4.40045666996108,4.5776151589481,5.13972096290778,4.37657604132162,2.84701964312221,1.60940602863349,4.43370565166334,7.42600629848038,3.8838770317323,3.9757270417946,4.67216649826701,6.84010850979265,4.25387549108373,6.69473776199115,3.80966228241623,4.41665295356804,2.73774696967214,5.17454953222296,5.68900514018964,11.494874652943,4.28474478265335,3.28821832794243,4.53473779383284,3.07067884129884,3.28821832794243,2.60269214527925,6.49447353591502,6.34756157502555,8.90650631882065,4.88075256287803,6.15017534589601,3.31738925391662,11.6538748437557,4.98940256508789,4.81996495180771,6.26980330317806,5.73508351437105,8.3455744785618,6.1080262939859,4.51254376281088,2.97694501919356,5.25069567001152,8.12218060746315,5.2304126294931,11.6886495315871,10.9720607815756,12.9184583865052,1.02740446336043,6.74725892898682,2.67470573181252,7.87706701538755,3.8838770317323,3.16717786237522,3.07067884129884,3.40668329750866,6.13180022201909,1.24730590996496,1.24730590996496,3.67596491876646,2.97694501919356
"GSM5087206",0,1.81103481226355,0,6.92219740918062,11.953712330729,9.72573193213162,2.83135626323969,9.61336052910387,0,10.4373422284153,11.1449996965152,1.81103481226355,8.30558270205367,7.84502630677725,11.264897957774,1.18992868940056,0,2.83135626323969,5.18149929459628,3.59031017277377,3.23981674851816,0,4.5448070676284,0,1.81103481226355,6.9734519690655,3.7026023225322,6.5858198550125,6.5858198550125,0,1.81103481226355,4.81769991745013,3.7026023225322,1.81103481226355,5.27981996412406,4.37264332776865,7.25616416175912,5.60469842494996,4.17372415985717,2.55493483394622,5.47749287250023,2.26273305462942,3.59031017277377,0,1.81103481226355,4.5448070676284,1.18992868940056,2.26273305462942,2.26273305462942,0,3.96765717547698,1.18992868940056,1.18992868940056,3.43376934561771,3.06516463438229,6.27533543604316,3.84539645363688,3.23981674851816,3.43376934561771,3.7026023225322,2.83135626323969,2.83135626323969,4.5448070676284,7.96232514490633,4.37264332776865,1.81103481226355,4.07109105166278,8.14130494386627,3.96765717547698,4.07109105166278,1.81103481226355,2.83135626323969,1.18992868940056,5.98345101159932,3.7026023225322,11.3339234175394,5.12760559152602,2.26273305462942,4.5448070676284,1.18992868940056,2.55493483394622,4.45738840241293,5.78180011029345,4.74347789591287,7.47192353137854,4.27623233158872,3.23981674851816,3.59031017277377,10.2914603555836,2.83135626323969,4.27623233158872,7.06255452783717,4.66246118003483,8.04716835176278,5.12760559152602,3.06516463438229,4.27623233158872,3.43376934561771,9.26286599117165,6.50431803992758,11.7188468441352,9.03256262208682,11.4369215528582,3.06516463438229,7.02664383110626,1.81103481226355,9.08394435891124,3.43376934561771,3.06516463438229,5.06706242976485,4.60803675843957,6.72058652246775,1.18992868940056,1.81103481226355,6.10340573004088,3.43376934561771
"GSM5087207",1.67246507849649,5.92929781185137,3.09994866746317,7.0167769478536,13.2967890888482,10.1530674149284,3.17028977759573,10.0476373850438,4.89657498578725,12.7074473482413,12.1217515616734,3.95445632571819,9.10111710281982,8.70792874831301,12.366251585309,1.01132164603675,3.83590432015218,4.35290454431063,6.16006254671919,4.65967356200494,4.2966067560142,3.09994866746317,7.60053529391761,2.63951466212669,3.30741047760602,7.05862873215555,3.97786266631034,8.04918442973226,8.04716835176278,3.41699596439976,4.09229349250955,4.78977666548102,6.61804988534383,3.3492609556239,6.38660229697861,5.76726863255899,9.19348778303293,7.13890551694991,3.65854552783485,5.15981406521633,7.1186298196938,4.78977666548102,4.40710443975039,2.63951466212669,3.7999146367687,5.11054451111857,3.77167828546053,4.55910391045293,3.17028977759573,3.65854552783485,3.97786266631034,3.49293386728953,5.20814717912636,3.7999146367687,2.16248335608085,6.19372221759018,4.78977666548102,5.04435308450837,5.60231969020606,6.29760093408015,2.63951466212669,2.84114765391562,4.26486036789635,8.06643595061905,4.06098527035437,3.65854552783485,4.57628666283381,8.03163736123676,4.50024750950589,6.53004346090309,3.83590432015218,4.86282486455146,2.38306883356629,6.39722202696055,4.96958423881266,11.3614555476541,3.91577970645298,2.9347385647224,4.73936666298528,3.83590432015218,3.3492609556239,2.7221521925799,7.32153542504543,4.9102714056236,9.51492368348418,5.27807888170738,5.73883604834765,4.98487872956903,11.7588574245455,4.26486036789635,5.44262624314224,7.34523551419687,5.69602638739568,8.72729227453104,5.93842165757107,5.33608622693473,2.9347385647224,4.38688935222683,9.18060488190154,5.2887849893039,10.9924915562257,10.7382927094999,12.2127551555449,5.92929781185137,6.7250389431977,2.63951466212669,7.64615773064902,2.38306883356629,2.46236299704167,2.9347385647224,3.83590432015218,4.64402227701888,1.24349381712679,1.01132164603675,3.58895345013776,3.17028977759573
"GSM5087208",0.82255819714232,0,0.82255819714232,5.93851891120961,10.5893531253459,9.24323378826063,3.19980804642088,9.1415910696955,1.40121575364313,9.75698693730995,9.50900045728376,1.40121575364313,5.96173425108934,7.45061534350605,9.71421588284017,0,0,3.06854033132183,3.19980804642088,3.46032989222605,2.77422444733292,2.11542338500918,3.31828513268184,1.40121575364313,0,5.96173425108934,3.06854033132183,4.81895575702089,4.77720415125333,1.78811394034444,0.82255819714232,4.52034094582238,2.38306883356629,0,4.35926341830122,2.77422444733292,5.91752287655636,3.19980804642088,2.38306883356629,2.11542338500918,3.98092347473873,3.98092347473873,3.72870514342956,3.06854033132183,2.93518124861068,3.72870514342956,0,2.93518124861068,2.38306883356629,1.40121575364313,3.46032989222605,2.11542338500918,2.58633085750273,0.82255819714232,1.40121575364313,6.2096371590048,2.11542338500918,2.11542338500918,1.78811394034444,1.40121575364313,0,2.11542338500918,4.29639450417209,6.71443070650835,3.64030773379082,2.38306883356629,3.64030773379082,7.10469976041899,3.98092347473873,3.64030773379082,0.82255819714232,4.17487920566823,0.82255819714232,6.53156679348999,4.64844226304807,11.2421725568202,3.31828513268184,3.19980804642088,3.19980804642088,2.58633085750273,1.40121575364313,2.77422444733292,3.64030773379082,2.58633085750273,6.1683155484393,2.77422444733292,4.46880398103454,2.38306883356629,12.2127551555449,2.58633085750273,3.56795039615157,7.75478027862169,4.56558623550698,8.80151980626752,3.89599265175969,4.11222244696083,4.35926341830122,1.78811394034444,8.22777326152217,2.93518124861068,12.5512485617753,10.3581951421331,11.6538748437557,5.14177717002234,7.09454936944766,3.06854033132183,7.05027878693795,3.46032989222605,6.31086031672789,5.10335927146248,3.31828513268184,6.13026639571717,2.77422444733292,2.11542338500918,4.64844226304807,2.77422444733292
"GSM5087209",0,0,0,6.63487767611715,10.0125629914851,8.59388472982745,0,8.57390657655026,0,9.04957381735985,9.03051449154492,0,6.10413034671228,6.63487767611715,9.43870588852337,0,0,0,4.57419159668865,3.20367130479214,0,0,3.20367130479214,0,0,0,0,4.03115478558783,4.03115478558783,4.57419159668865,4.03115478558783,0,4.57419159668865,0,4.03115478558783,0,6.22805422366086,4.57419159668865,0,0,4.03115478558783,4.03115478558783,0,0,4.03115478558783,4.03115478558783,0,0,0,0,4.57419159668865,0,3.20367130479214,0,0,0,0,4.03115478558783,4.57419159668865,0,0,0,0,4.57419159668865,0,0,0,0,0,4.03115478558783,0,4.03115478558783,0,4.03115478558783,0,9.45045475408168,0,0,4.03115478558783,0,0,0,5.20323606571593,3.20367130479214,6.10413034671228,4.03115478558783,0,0,12.0436241943549,0,0,5.97033698674098,6.22805422366086,9.4934509751037,4.57419159668865,3.20367130479214,0,0,9.95982415388108,3.20367130479214,12.6155838034346,11.7188785737001,12.9184886624097,0,8.00655394384284,4.92050476883733,8.61073128399224,3.20367130479214,5.43707554466959,4.57419159668865,4.92050476883733,5.97033698674098,4.57419159668865,4.03115478558783,6.94054221460692,4.92050476883733
